ID,Cikis,Varis,Musteri,Tip,Tonaj,Mesafe,Maliyet,Fiyat,Gecikme
TRK-10068,İskenderun,Rotterdam,Arçelik,Demiryolu,6599,2441,8098.02,9880.47,1
TRK-10069,İzmir,Hamburg,Apple,Demiryolu,42245,2932,9405.17,10980.32,0
TRK-10070,Batum,İzmir,Amazon,Karayolu,19072,2106,6971.98,8269.55,0
TRK-10071,İskenderun,İzmir,Beko,Denizyolu,19017,4424,15570.3,18263.76,1
TRK-10072,Ambarlı,Batum,Arçelik,Karayolu,36804,1738,4142.07,5072.22,0
TRK-10073,İskenderun,Mersin,Tofaş,Denizyolu,34733,1215,2323.58,3020.31,0
TRK-10074,Mersin,İskenderun,Tofaş,Karayolu,28363,3767,10886.95,12876.51,5
TRK-10075,Batum,Samsun,Beko,Denizyolu,12186,1227,4396.75,5224.36,2
TRK-10076,Mersin,Hamburg,Apple,Demiryolu,14003,237,765.02,874.45,0
TRK-10077,Batum,Mersin,Apple,Demiryolu,28316,3539,11935.82,14735.78,5
TRK-10078,Rotterdam,Batum,Arçelik,Denizyolu,42665,3373,7037.7,7958.92,2
TRK-10079,Rotterdam,Hamburg,Beko,Denizyolu,8775,2251,3687.01,4761.58,5
TRK-10080,Batum,Mersin,Tofaş,Denizyolu,21097,3621,9116.89,11505.46,2
TRK-10081,Mersin,Hamburg,Vestel,Demiryolu,33022,1103,2637.46,3340.85,0
TRK-10082,Hamburg,Mersin,Arçelik,Denizyolu,19222,4216,13114.3,15998.1,0
TRK-10083,Batum,Hamburg,Apple,Denizyolu,1428,2896,7766.08,9403.67,0
TRK-10084,Rotterdam,Batum,Apple,Demiryolu,18157,1124,3282.53,3652.93,0
TRK-10085,İzmir,Rotterdam,Amazon,Karayolu,2707,1557,3133.96,3811.53,2
TRK-10086,İskenderun,Batum,Vestel,Denizyolu,20971,251,654.37,790.34,0
TRK-10087,Samsun,İskenderun,Tofaş,Demiryolu,12393,3128,9768.83,10803.59,5
TRK-10088,İskenderun,Hamburg,Tofaş,Denizyolu,5873,3861,7503.69,8983.06,1
TRK-10089,Samsun,İzmir,Beko,Karayolu,41749,2452,5168.07,6545.35,0
TRK-10090,Ambarlı,İskenderun,Arçelik,Karayolu,29118,726,2595.2,2967.87,0
TRK-10091,Samsun,Batum,Amazon,Karayolu,23303,3222,10609.48,13619.57,0
TRK-10092,İskenderun,Samsun,Apple,Karayolu,15035,1272,2095.38,2612.12,0
TRK-10093,Batum,Ambarlı,Tofaş,Demiryolu,3788,1296,2235.7,2811.29,0
TRK-10094,Samsun,İskenderun,Amazon,Karayolu,25008,2872,8812.79,11045.81,0
TRK-10095,İzmir,Mersin,Beko,Denizyolu,14382,3574,8192.65,9919.87,1
TRK-10096,Ambarlı,Rotterdam,Vestel,Denizyolu,31439,2641,4792.26,6051.19,1
TRK-10097,Rotterdam,Batum,Vestel,Denizyolu,32352,4030,13454.57,16455.18,0
TRK-10098,Ambarlı,İzmir,Şişecam,Denizyolu,22652,2386,8330.12,10060.42,0
TRK-10099,Samsun,İskenderun,Tofaş,Demiryolu,17753,3655,7357.48,9030.12,0
TRK-10100,İzmir,Rotterdam,Apple,Karayolu,19213,301,1223.6,1565.27,2
TRK-10101,İzmir,Ambarlı,Vestel,Karayolu,29187,3941,11476.42,13909.69,5
TRK-10102,İzmir,Batum,Beko,Denizyolu,29383,2295,7666.49,9481.81,2
TRK-10103,İskenderun,Mersin,Şişecam,Karayolu,44318,340,1516.24,1772.82,2
TRK-10104,Samsun,Mersin,Arçelik,Denizyolu,44403,3279,8093.48,9417.87,5
TRK-10105,İskenderun,İzmir,Beko,Demiryolu,42160,2442,4493.79,5754.07,1
TRK-10106,Mersin,İskenderun,Tofaş,Denizyolu,44516,1883,5893.82,7407.84,2
TRK-10107,Batum,Hamburg,Tofaş,Denizyolu,39245,2715,8756.89,10336.23,5
TRK-10108,Samsun,Hamburg,Amazon,Denizyolu,21892,2670,5613.86,7253.86,2
TRK-10109,Mersin,İzmir,Arçelik,Denizyolu,30760,327,1363.42,1531.15,0
TRK-10110,Samsun,Mersin,Amazon,Demiryolu,31531,3487,8254.63,9242.06,5
TRK-10111,Rotterdam,Ambarlı,Beko,Karayolu,14516,1350,4542.57,5641.21,5
TRK-10112,Hamburg,Ambarlı,Apple,Karayolu,15262,1980,6032.7,7841.59,0
TRK-10113,Rotterdam,Batum,Beko,Karayolu,8742,1442,5027.18,6216.18,0
TRK-10114,İzmir,Ambarlı,Beko,Demiryolu,26040,4636,12789.73,16318.38,5
TRK-10115,Samsun,Hamburg,Şişecam,Denizyolu,36576,3991,9760.48,11235.15,0
TRK-10116,İzmir,Rotterdam,Tofaş,Demiryolu,4542,1832,4130.09,5026.4,0
TRK-10117,Samsun,Mersin,Şişecam,Demiryolu,14550,4585,7646.66,9121.43,0
TRK-10118,Mersin,Ambarlı,Arçelik,Demiryolu,5133,3613,5570.07,6376.27,1
TRK-10119,Hamburg,Samsun,Arçelik,Denizyolu,3982,348,1108.55,1434.05,2
TRK-10120,Batum,İskenderun,Vestel,Demiryolu,9986,3702,7722.6,9070.1,5
TRK-10121,Batum,Ambarlı,Amazon,Demiryolu,2150,3568,7492.96,9380.42,0
TRK-10122,İskenderun,Mersin,Amazon,Demiryolu,6489,4073,11062.0,13003.62,0
TRK-10123,İskenderun,İzmir,Vestel,Karayolu,31825,1455,4108.59,5259.8,0
TRK-10124,Mersin,Samsun,Amazon,Denizyolu,5143,333,1130.31,1444.79,5
TRK-10125,Samsun,Ambarlı,Tofaş,Denizyolu,6141,3052,6548.26,7374.34,2
TRK-10126,Rotterdam,İskenderun,Beko,Demiryolu,31096,3102,8480.39,10023.06,1
TRK-10127,İzmir,Samsun,Arçelik,Denizyolu,16297,3781,8591.69,11147.55,2
TRK-10128,İskenderun,Hamburg,Apple,Demiryolu,31900,3287,8209.54,9860.04,0
TRK-10129,Mersin,Samsun,Arçelik,Karayolu,37094,903,1860.4,2108.1,0
TRK-10130,Batum,Hamburg,Vestel,Demiryolu,9043,1304,4334.41,5426.98,0
TRK-10131,Ambarlı,Mersin,Amazon,Denizyolu,4725,4692,14666.98,17801.54,0
TRK-10132,İskenderun,Samsun,Şişecam,Karayolu,11745,1704,5315.82,6820.94,5
TRK-10133,Ambarlı,Rotterdam,Şişecam,Karayolu,4947,3248,5750.64,6582.76,0
TRK-10134,Batum,Samsun,Apple,Demiryolu,36151,2012,3734.04,4409.81,0
TRK-10135,Hamburg,Batum,Vestel,Demiryolu,2620,2070,4690.38,5411.58,1
TRK-10136,Hamburg,Mersin,Arçelik,Demiryolu,15418,686,2125.8,2519.98,0
TRK-10137,Hamburg,Samsun,Tofaş,Demiryolu,7262,4693,7347.19,8465.41,0
TRK-10138,İzmir,Samsun,Beko,Demiryolu,27604,2678,5437.02,6935.73,1
TRK-10139,İzmir,Batum,Arçelik,Denizyolu,33717,2618,9389.86,11048.92,0
TRK-10140,Ambarlı,Rotterdam,Tofaş,Denizyolu,22895,332,1058.49,1202.84,0
TRK-10141,Batum,İskenderun,Apple,Karayolu,39964,3536,9454.81,12133.22,0
TRK-10142,Mersin,Samsun,Beko,Karayolu,9423,3488,10254.19,12824.12,0
TRK-10143,Ambarlı,Mersin,Şişecam,Karayolu,18093,4992,12234.36,13566.23,0
TRK-10144,Hamburg,Rotterdam,Amazon,Karayolu,20673,2136,4748.49,5614.2,5
TRK-10145,Rotterdam,Mersin,Şişecam,Karayolu,5248,2958,8023.78,9888.14,0
TRK-10146,İzmir,Rotterdam,Beko,Denizyolu,24322,3347,7638.89,9133.57,5
TRK-10147,Mersin,Samsun,Arçelik,Denizyolu,24298,2818,9477.91,11134.51,5
TRK-10148,Hamburg,Samsun,Amazon,Denizyolu,19336,790,2529.68,2824.18,0
TRK-10149,Samsun,İzmir,Vestel,Karayolu,22434,1246,4188.38,5271.47,0
TRK-10150,İskenderun,Rotterdam,Beko,Demiryolu,4978,2583,4060.51,4472.06,2
TRK-10151,Ambarlı,İzmir,Apple,Demiryolu,4286,1321,3745.59,4582.68,0
TRK-10152,İzmir,Mersin,Apple,Demiryolu,12737,2105,7250.38,8172.53,0
TRK-10153,Ambarlı,İzmir,Apple,Denizyolu,37702,3196,8051.5,9789.73,2
TRK-10154,İzmir,Batum,Tofaş,Demiryolu,16233,227,940.23,1049.34,1
TRK-10155,İzmir,İskenderun,Arçelik,Karayolu,3587,2527,4921.84,5938.31,0
TRK-10156,Samsun,Ambarlı,Tofaş,Karayolu,22971,4952,7741.93,8750.7,0
TRK-10157,Ambarlı,Hamburg,Apple,Demiryolu,12605,2564,5759.49,7011.29,2
TRK-10158,Batum,Rotterdam,Amazon,Demiryolu,30039,1197,2331.42,2606.04,0
TRK-10159,Batum,Rotterdam,Vestel,Karayolu,2952,3922,11867.94,13304.85,1
TRK-10160,İskenderun,Rotterdam,Amazon,Demiryolu,15644,4818,13097.8,16428.25,0
TRK-10161,Hamburg,İskenderun,Tofaş,Demiryolu,27127,3629,6474.43,7553.18,0
TRK-10162,Rotterdam,Ambarlı,Tofaş,Denizyolu,38614,1404,4761.26,5945.67,1
TRK-10163,Mersin,Hamburg,Şişecam,Demiryolu,38458,2250,4056.49,5136.76,1
TRK-10164,İzmir,Ambarlı,Tofaş,Karayolu,31439,3943,7698.48,9109.46,5
TRK-10165,Mersin,Batum,Vestel,Karayolu,15223,510,1526.82,1900.66,1
TRK-10166,Ambarlı,Rotterdam,Arçelik,Karayolu,24658,4338,14558.66,16817.61,1
TRK-10167,İskenderun,Rotterdam,Arçelik,Denizyolu,18550,3985,12407.6,15924.6,5
TRK-10168,Hamburg,Ambarlı,Arçelik,Demiryolu,24296,2197,3863.12,4881.16,5
TRK-10169,Batum,Mersin,Şişecam,Denizyolu,4577,3405,6379.35,7602.46,0
TRK-10170,İzmir,Samsun,Beko,Denizyolu,3142,260,434.82,506.4,1
TRK-10171,Hamburg,Batum,Amazon,Denizyolu,1095,3267,6285.39,7827.99,0
TRK-10172,İzmir,Batum,Arçelik,Karayolu,28431,937,3002.8,3600.12,0
TRK-10173,Samsun,Ambarlı,Tofaş,Karayolu,35285,402,1726.72,2196.41,0
TRK-10174,Rotterdam,Mersin,Beko,Karayolu,10120,856,2679.22,2965.44,5
TRK-10175,Batum,Samsun,Tofaş,Karayolu,39370,4309,12815.66,15105.61,0
TRK-10176,Rotterdam,Mersin,Beko,Demiryolu,31437,2940,7455.24,8565.7,0
TRK-10177,Hamburg,Batum,Tofaş,Karayolu,15800,1596,4182.76,5174.09,1
TRK-10178,Batum,Hamburg,Tofaş,Denizyolu,38737,1056,2980.34,3541.69,0
TRK-10179,Ambarlı,İskenderun,Şişecam,Demiryolu,37941,2441,7352.74,8396.9,2
TRK-10180,İskenderun,İzmir,Vestel,Demiryolu,7900,3590,9437.39,11360.98,1
TRK-10181,İzmir,İskenderun,Beko,Karayolu,30721,2688,9425.98,11483.13,0
TRK-10182,İzmir,Mersin,Şişecam,Karayolu,42964,4973,10432.65,12321.99,0
TRK-10183,Ambarlı,Hamburg,Şişecam,Demiryolu,35127,1652,5940.5,7359.8,0
TRK-10184,Batum,Hamburg,Tofaş,Denizyolu,40056,3227,11369.27,13576.66,0
TRK-10185,İskenderun,Ambarlı,Apple,Karayolu,6923,4686,10280.86,13040.6,0
TRK-10186,İzmir,Ambarlı,Apple,Demiryolu,12330,934,1814.09,2177.98,5
TRK-10187,Samsun,İzmir,Apple,Demiryolu,43763,4813,9384.27,10355.12,0
TRK-10188,Rotterdam,Batum,Arçelik,Demiryolu,29302,1185,2884.43,3237.93,0
TRK-10189,Samsun,Mersin,Apple,Karayolu,2576,2609,8212.16,10237.44,0
TRK-10190,Mersin,Ambarlı,Beko,Demiryolu,39190,843,2884.13,3721.39,2
TRK-10191,Rotterdam,Mersin,Apple,Karayolu,7267,4925,14876.18,16438.98,5
TRK-10192,Hamburg,Mersin,Beko,Demiryolu,1052,702,2103.27,2514.86,0
TRK-10193,Samsun,İskenderun,Beko,Demiryolu,33368,664,1960.52,2222.36,0
TRK-10194,İzmir,Rotterdam,Arçelik,Demiryolu,26542,3514,12385.69,14403.11,0
TRK-10195,Rotterdam,İzmir,Şişecam,Demiryolu,36471,3436,6244.84,7573.3,0
TRK-10196,İzmir,Rotterdam,Arçelik,Karayolu,13360,3818,9720.62,11118.12,2
TRK-10197,Batum,İzmir,Amazon,Denizyolu,7578,709,1944.21,2194.67,0
TRK-10198,Samsun,Mersin,Vestel,Demiryolu,22611,1740,5679.87,6510.21,0
TRK-10199,Samsun,Hamburg,Şişecam,Karayolu,42372,2030,7267.13,8611.29,2
TRK-10200,Mersin,Ambarlı,Şişecam,Karayolu,35686,3060,5468.22,6562.37,1
TRK-10201,Batum,İskenderun,Vestel,Denizyolu,5896,237,745.07,838.8,5
TRK-10202,Rotterdam,Hamburg,Amazon,Demiryolu,37516,515,1890.43,2115.96,2
TRK-10203,Rotterdam,Ambarlı,Vestel,Karayolu,37481,4714,14821.99,16851.3,5
TRK-10204,Rotterdam,Ambarlı,Arçelik,Denizyolu,1029,1935,5259.11,5968.49,1
TRK-10205,Hamburg,Mersin,Beko,Denizyolu,2194,2861,8877.03,10570.12,0
TRK-10206,İskenderun,Mersin,Arçelik,Karayolu,3363,2646,7772.93,8825.43,5
TRK-10207,İzmir,İskenderun,Vestel,Demiryolu,16020,2741,7505.35,9141.87,1
TRK-10208,Mersin,Batum,Vestel,Karayolu,1773,901,1773.27,2240.04,0
TRK-10209,Ambarlı,Rotterdam,Amazon,Demiryolu,2854,3717,12907.71,15418.32,1
TRK-10210,İskenderun,Rotterdam,Vestel,Karayolu,38567,3546,9522.22,12318.47,0
TRK-10211,İzmir,Samsun,Arçelik,Denizyolu,37462,2567,6910.72,8735.97,2
TRK-10212,Hamburg,Samsun,Beko,Karayolu,7612,249,701.3,881.58,2
TRK-10213,Hamburg,Batum,Apple,Karayolu,40558,1769,4684.73,5804.9,0
TRK-10214,Hamburg,Samsun,Tofaş,Demiryolu,15071,1826,5916.4,7322.2,0
TRK-10215,Hamburg,Batum,Arçelik,Demiryolu,43913,996,2765.06,3351.29,0
TRK-10216,Ambarlı,Samsun,Amazon,Denizyolu,40889,3041,7799.0,8813.61,0
TRK-10217,Batum,İskenderun,Şişecam,Karayolu,10337,926,3310.03,3854.03,0
TRK-10218,Hamburg,İskenderun,Amazon,Demiryolu,4139,736,2457.35,3136.39,0
TRK-10219,İskenderun,Mersin,Tofaş,Demiryolu,35139,4036,9855.07,12093.86,1
TRK-10220,Hamburg,Batum,Amazon,Demiryolu,11661,3000,4818.4,5329.24,1
TRK-10221,Samsun,Rotterdam,Arçelik,Denizyolu,24350,2387,6317.46,7152.77,0
TRK-10222,İskenderun,Mersin,Arçelik,Karayolu,26695,2965,9289.21,11188.27,0
TRK-10223,İzmir,Hamburg,Tofaş,Denizyolu,22738,3657,12106.81,13949.62,0
TRK-10224,Rotterdam,Hamburg,Amazon,Karayolu,26267,3029,7523.93,8734.39,0
TRK-10225,İzmir,Batum,Amazon,Karayolu,26398,1094,3935.59,4988.99,0
TRK-10226,Batum,Samsun,Vestel,Karayolu,41420,2216,7609.15,9282.55,0
TRK-10227,Mersin,Hamburg,Tofaş,Karayolu,28125,834,2738.4,3179.2,0
TRK-10228,Ambarlı,Hamburg,Beko,Demiryolu,29727,2266,7838.06,9677.35,0
TRK-10229,Rotterdam,İskenderun,Apple,Denizyolu,25623,3019,9309.08,11356.9,0
TRK-10230,Ambarlı,İskenderun,Arçelik,Denizyolu,10952,4541,11321.83,13109.67,5
TRK-10231,Rotterdam,İzmir,Tofaş,Denizyolu,39705,1725,5241.38,6732.43,0
TRK-10232,Hamburg,Samsun,Şişecam,Karayolu,2468,1069,2687.34,3410.67,0
TRK-10233,Mersin,Hamburg,Amazon,Karayolu,1190,3179,6253.55,7154.2,1
TRK-10234,Hamburg,İzmir,Apple,Demiryolu,37423,462,1885.05,2424.3,2
TRK-10235,Ambarlı,Rotterdam,Arçelik,Demiryolu,6848,2736,5432.89,6734.88,0
TRK-10236,İzmir,Mersin,Vestel,Denizyolu,19402,4045,12187.07,13466.27,0
TRK-10237,Rotterdam,Mersin,Tofaş,Demiryolu,7029,4715,9494.45,10913.18,2
TRK-10238,Mersin,Samsun,Apple,Demiryolu,8559,590,1995.39,2553.41,0
TRK-10239,Mersin,İzmir,Apple,Karayolu,34607,3609,10870.08,13965.8,2
TRK-10240,İzmir,Hamburg,Tofaş,Denizyolu,43809,619,2527.42,3075.07,0
TRK-10241,İzmir,Batum,Vestel,Demiryolu,28491,2823,8873.07,10495.8,0
TRK-10242,Mersin,Ambarlı,Tofaş,Denizyolu,28041,2153,4844.3,5572.81,0
TRK-10243,Ambarlı,Samsun,Arçelik,Denizyolu,43251,4072,13887.33,17569.88,5
TRK-10244,Hamburg,İskenderun,Arçelik,Karayolu,21250,3509,9709.93,11269.62,0
TRK-10245,Mersin,İzmir,Amazon,Denizyolu,40723,3216,7799.24,9805.61,2
TRK-10246,Mersin,Ambarlı,Amazon,Denizyolu,19490,3500,7055.78,8943.4,5
TRK-10247,İskenderun,Mersin,Beko,Karayolu,1690,582,1696.67,1900.4,1
TRK-10248,Rotterdam,Samsun,Amazon,Karayolu,44529,987,2012.84,2368.02,1
TRK-10249,Hamburg,İzmir,Vestel,Karayolu,21363,2389,7418.84,9275.69,5
TRK-10250,İskenderun,Batum,Arçelik,Karayolu,13947,1656,5465.5,6316.39,0
TRK-10251,Mersin,Ambarlı,Beko,Demiryolu,23618,419,1075.86,1345.68,1
TRK-10252,Hamburg,İskenderun,Vestel,Karayolu,35420,929,3136.98,3972.23,1
TRK-10253,Batum,Hamburg,Tofaş,Demiryolu,27009,685,1754.56,2215.5,0
TRK-10254,İzmir,Rotterdam,Beko,Karayolu,34525,4453,12217.02,13942.22,2
TRK-10255,İskenderun,Rotterdam,Şişecam,Demiryolu,22471,1046,2215.53,2646.28,1
TRK-10256,Samsun,Batum,Şişecam,Demiryolu,30775,967,2416.25,2727.7,0
TRK-10257,İskenderun,İzmir,Amazon,Denizyolu,7100,2590,4720.2,6075.06,5
TRK-10258,İskenderun,Rotterdam,Tofaş,Denizyolu,33584,2276,4881.65,5833.09,0
TRK-10259,Hamburg,Ambarlı,Apple,Denizyolu,10325,711,1559.48,1912.45,0
TRK-10260,Hamburg,Rotterdam,Beko,Karayolu,25712,2350,8354.97,10533.84,1
TRK-10261,Batum,Samsun,Tofaş,Demiryolu,6168,1952,5653.79,6679.34,5
TRK-10262,Mersin,İskenderun,Amazon,Denizyolu,17491,2303,5656.95,7042.54,2
TRK-10263,Batum,Mersin,Amazon,Karayolu,12279,2306,6474.77,7261.86,2
TRK-10264,Hamburg,Mersin,Amazon,Demiryolu,29622,2361,4332.73,4941.39,0
TRK-10265,Samsun,İzmir,Arçelik,Karayolu,12249,1884,3966.2,4811.81,0
TRK-10266,Hamburg,Rotterdam,Tofaş,Karayolu,29286,2128,4976.16,5584.17,0
TRK-10267,Hamburg,İskenderun,Vestel,Karayolu,17602,1677,4095.74,5169.34,0
TRK-10268,İzmir,Rotterdam,Amazon,Demiryolu,14966,2526,6588.15,8184.08,0
TRK-10269,Ambarlı,Batum,Arçelik,Demiryolu,37394,796,1772.52,2266.55,5
TRK-10270,İskenderun,Ambarlı,Arçelik,Demiryolu,32979,4252,14381.35,17828.84,2
TRK-10271,Hamburg,Samsun,Amazon,Demiryolu,14751,415,1143.62,1328.21,0
TRK-10272,Rotterdam,Ambarlı,Amazon,Denizyolu,5502,3845,8399.62,10851.64,5
TRK-10273,İzmir,Ambarlı,Arçelik,Karayolu,17564,1832,6348.68,8118.42,0
TRK-10274,Rotterdam,İzmir,Beko,Karayolu,1854,1881,4279.3,4888.8,0
TRK-10275,Rotterdam,Ambarlı,Amazon,Demiryolu,37235,3867,7078.25,8331.1,2
TRK-10276,Batum,Hamburg,Apple,Denizyolu,30482,2954,6761.29,8461.26,1
TRK-10277,İzmir,Hamburg,Şişecam,Denizyolu,4139,1537,3437.94,4386.82,2
TRK-10278,Mersin,Samsun,Arçelik,Demiryolu,16038,4531,8178.63,9115.51,2
TRK-10279,Hamburg,İskenderun,Tofaş,Demiryolu,8485,3221,5601.46,6628.19,0
TRK-10280,Rotterdam,Batum,Vestel,Karayolu,43343,2517,6877.11,8465.34,5
TRK-10281,İskenderun,Samsun,Tofaş,Denizyolu,33521,3174,7556.66,9616.54,2
TRK-10282,İzmir,Mersin,Beko,Denizyolu,2258,3461,10985.69,13387.74,2
TRK-10283,Rotterdam,Batum,Vestel,Denizyolu,29139,1055,2497.3,2752.92,0
TRK-10284,Batum,Samsun,Amazon,Karayolu,25624,327,1000.71,1267.08,1
TRK-10285,Hamburg,Samsun,Beko,Denizyolu,34162,976,3058.68,3868.71,0
TRK-10286,Rotterdam,Batum,Amazon,Demiryolu,24871,597,1678.23,2156.11,0
TRK-10287,Mersin,İzmir,Amazon,Karayolu,31449,4983,16524.27,21132.85,2
TRK-10288,Batum,Ambarlı,Arçelik,Denizyolu,15793,2334,8257.3,9439.58,1
TRK-10289,Samsun,İzmir,Apple,Demiryolu,38829,2648,9592.21,12462.18,0
